,BuyerId,SellerId,Weights
154,pzabk.wam,j3ebo.wam,9
155,xdtbg.wam,unbaw.wam,9
156,2gbaq.wam,vb2r.wam,9
157,jp2b4.wam,weebg.wam,9
158,jp2b4.wam,txwrm.wam,9
159,vztbe.wam,gjcbq.wam,9
160,1vobc.wam,cpsbe.wam,8
161,az1ay.wam,3nvb2.wam,8
162,hdmba.wam,bwrau.wam,8
163,lynqk.wam,2aerg.wam,8
164,fzfqu.wam,g2jaw.wam,8
165,susay.wam,nhrr2.wam,8
166,fgybq.wam,wyiqy.wam,8
167,bbiqu.wam,wyiqy.wam,8
168,intqi.wam,hluaw.wam,8
169,e23b2.wam,f1tra.wam,8
170,rxoqy.wam,3jpqw.wam,8
171,lh3b.wam,5e1rs.wam,8
172,vz5be.wam,om1qy.wam,8
173,twmbc.wam,kxrqy.wam,8
174,crfbe.wam,jp2b4.wam,8
175,g2jaw.wam,nssrs.wam,8
176,j2qau.wam,5c1be.wam,8
177,j2qau.wam,pvdau.wam,8
178,j2qau.wam,41lqy.wam,8
179,ohgra.wam,mclbs.wam,8
180,tylerglasnow,p2lb.wam,8
181,e5lbi.wam,cadr.wam,8
182,escbg.wam,wkkrm.wam,8
183,dture.wam,nneau.wam,8
184,lybre.wam,jp2b4.wam,8
185,v4obq.wam,cotri.wam,8
186,v1yqu.wam,noeay.wam,8
187,xvjb.wam,amuba.wam,8
188,fevly.wam,bmwr.wam,8
189,o3.qy.wam,cotri.wam,8
190,fxpre.wam,mpmre.wam,8
191,hhobi.wam,jhx.u.wam,8
192,dljri.wam,cvtau.wam,8
193,lhhqu.wam,31ar4.wam,8
194,wzp.c.wam,cuybe.wam,8
195,eneb.wam,kwgr2.wam,8
196,xdtbg.wam,2g2ro.wam,8
197,aptbq.wam,xoxay.wam,8
198,fjqau.wam,m34ro.wam,8
199,fuwb4.wam,a2brg.wam,8
200,ui4bq.wam,2d.b2.wam,8
201,4d45y.wam,33jau.wam,8
202,bnwb.wam,gjcbq.wam,8
203,uhmro.wam,gjcbq.wam,8
204,fhfri.wam,gjcbq.wam,8
205,3jrrk.wam,5ixro.wam,8
206,gjcbq.wam,iflrk.wam,8
207,1vobc.wam,xikai.wam,7
208,1vobc.wam,35qqy.wam,7
209,fdnqy.wam,iyzrg.wam,7
210,fdnqy.wam,vrub.wam,7
211,todaybutnota,bbiqu.wam,7
212,1vtb2.wam,h.xqw.wam,7
213,az1ay.wam,e1tbe.wam,7
214,tztb2.wam,kb4be.wam,7
215,lynqk.wam,5a3aw.wam,7
216,yypb.wam,duwr4.wam,7
217,fzfqu.wam,rorro.wam,7
218,tnequ.wam,o135.wam,7
219,tnequ.wam,xbequ.wam,7
220,tz5qs.wam,ttrqw.wam,7
221,3toqy.wam,hieb.wam,7
222,333b4.wam,x1cbs.wam,7
223,zkfr2.wam,bqcb2.wam,7
224,mvdau.wam,jhx.u.wam,7
225,bdsb2.wam,ls3bm.wam,7
226,rxoqy.wam,dagay.wam,7
227,xhgaw.wam,5ri4a.wam,7
228,w3aqy.wam,x1cbs.wam,7
229,.v.qy.wam,g3plc.wam,7
230,rfiau.wam,lhhqu.wam,7
231,cccba.wam,cbk5a.wam,7
232,34aaw.wam,mv1ri.wam,7
233,mpnay.wam,cbk5a.wam,7
234,mpnay.wam,sl.bc.wam,7
235,mpnay.wam,mwkrc.wam,7
236,om1qy.wam,3u1re.wam,7
237,njdau.wam,vzfbe.wam,7
238,njdau.wam,aez4.wam,7
239,crfbe.wam,cifrk.wam,7
240,krgbo.wam,pglr2.wam,7
241,eatb.wam,awjqq.wam,7
242,franklin.gm,gl2qy.wam,7
243,i2xqy.wam,ls3bm.wam,7
244,hieb.wam,xf5bg.wam,7
245,j2qau.wam,eczb4.wam,7
246,spwr2.wam,pmmqy.wam,7
247,izlbg.wam,pcibs.wam,7
248,izlbg.wam,r4mrg.wam,7
249,bdaaw.wam,5e1rs.wam,7
250,zzbr4.wam,aptbq.wam,7
251,k3tro.wam,xl3b4.wam,7
252,qyyb4.wam,zf5rg.wam,7
253,hjlqw.wam,4xulk.wam,7
254,gtwr4.wam,ic1rk.wam,7
255,lhhqu.wam,jkurq.wam,7
256,.trre.wam,rnsa.wam,7
257,r3yra.wam,goub.wam,7
258,qqhb.wam,bzkao.wam,7
259,4r1bm.wam,uhmro.wam,7
260,teobe.wam,fuwb4.wam,7
261,f1nre.wam,jp2b4.wam,7
262,vx3qw.wam,br3bo.wam,7
263,jp2b4.wam,5rmbe.wam,7
264,jp2b4.wam,jbmbe.wam,7
265,jp2b4.wam,gxkbq.wam,7
266,s4wrg.wam,nleri.wam,7
267,2d.b2.wam,cykrg.wam,7
268,ihep4.wam,jloro.wam,7
269,g1sbo.wam,e.srm.wam,7
270,h3sbe.wam,zvob.wam,7
271,zvob.wam,o5ibo.wam,7
272,zvob.wam,gpfqw.wam,7
273,uqwb4.wam,jloro.wam,6
274,14vb2.wam,wkkrm.wam,6
275,14vb2.wam,qrgbg.wam,6
276,az1ay.wam,o135.wam,6
277,az1ay.wam,mpnay.wam,6
278,gymqy.wam,r3yra.wam,6
279,svjrc.wam,asjbc.wam,6
280,2a2be.wam,f1s3w.waa,6
281,lynqk.wam,.wkri.wam,6
282,lynqk.wam,wbiau.wam,6
283,lynqk.wam,wq2bg.wam,6
284,lynqk.wam,hpirs.wam,6
285,hrequ.wam,.4er2.wam,6
286,yypb.wam,v.25g.wam,6
287,yypb.wam,dvbbe.wam,6
288,yypb.wam,hsac.wam,6
289,susay.wam,krgbo.wam,6
290,susay.wam,rs.aw.wam,6
291,tnsr2.wam,jp2b4.wam,6
292,1qyrc.wam,xisk2.wam,6
293,3k3am.waa,gjcbq.wam,6
294,tnequ.wam,pbpay.wam,6
295,edcba.wam,xf1r.wam,6
296,y4ym2.wam,vshrg.wam,6
297,333b4.wam,5tgbs.wam,6
298,o135.wam,cqcau.wam,6
299,o135.wam,wax111222555,6
300,intqi.wam,m34ro.wam,6
301,e23b2.wam,h3zrk.wam,6
302,wyiqy.wam,vmkbc.wam,6
303,wyiqy.wam,hsuro.wam,6
304,tcgb.wam,lhhqu.wam,6
305,l.5b2.wam,j2qau.wam,6
306,rmdb.wam,fwkr2.wam,6
307,mfwl4.wam,shootthemoon,6
308,qntqu.wam,a2brg.wam,6
309,.v.qy.wam,c1uoo.wam,6
310,ap5qu.wam,kxrqy.wam,6
311,iepr2.wam,a2brg.wam,6
312,xyaqy.wam,jloro.wam,6
313,mpnay.wam,diqam.waa,6
314,nhrr2.wam,2ijr4.wam,6
315,44yra.wam,vdnre.wam,6
316,jzmqw.wam,g1tbo.wam,6
317,p1cqw.wam,lhhqu.wam,6
318,5dj5g.wam,udzbc.wam,6
319,njdau.wam,unbro.wam,6
320,t3maw.wam,a2brg.wam,6
321,334rg.wam,.ngaw.wam,6
322,pddra.wam,5e1rs.wam,6
323,zv3b.wam,cotri.wam,6
324,i.lr2.wam,2kibs.wam,6
325,i.lr2.wam,5cibs.wam,6
326,kieb.wam,r3yra.wam,6
327,g2jaw.wam,krqri.wam,6
328,kxrqy.wam,3jpqw.wam,6
329,zdrb2.wam,w125m.wam,6
330,duwr4.wam,zayr4.wam,6
331,.xdri.wam,kqeoa.wam,6
332,.xdri.wam,bzzre.wam,6
333,j2qau.wam,fntri.wam,6
334,tylerglasnow,tpqre.wam,6
335,x.cqw.wam,pp1b.wam,6
336,vpir2.wam,d1mau.wam,6
337,izlbg.wam,tkwbq.wam,6
338,izlbg.wam,uhwrg.wam,6
339,izlbg.wam,pzxay.wam,6
340,bk1r4.wam,dagr.wam,6
341,11pre.wam,xvb1e.wam,6
